input,output,se_order
"rapi , bagus , bersih , nyaman dan lokasi strategis .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> lokasi <extra_id_1> strategis <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> rapi <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> bagus <extra_id_8> positive ; <extra_id_9> NULL <extra_id_10> bersih <extra_id_11> positive ; <extra_id_12> NULL <extra_id_13> nyaman <extra_id_14> positive,aos
"jelek , tidak bersih , spreai kotor , pelayanan tidak ramah .| aspek : <extra_id_0>",<extra_id_0> spreai ; <extra_id_1> pelayanan ; <extra_id_2> NULL,a
paling cozy airy rooms disini .| opini : <extra_id_0>,<extra_id_0> paling cozy,o
very good pelayanan dan good condition di airy rooms .| opini : <extra_id_0>,<extra_id_0> good ; <extra_id_1> good,o
"suasana damai , parkiran luas , pelayanan ramah .| opini : <extra_id_0>",<extra_id_0> damai ; <extra_id_1> luas ; <extra_id_2> ramah,o
hotelnya bersih dan lumayan luas kamarnya .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> lumayan luas,o
"wastafel bocor , handuk bau tidak enak ( tidak bersih ) , lemari kotor .| aspek : <extra_id_0>",<extra_id_0> wastafel ; <extra_id_1> handuk ; <extra_id_2> lemari,a
"nyman banget mantap ! recommended .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"baik keseluruhan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> keseluruhan <extra_id_1> positive,as
kotor .| opini : <extra_id_0>,<extra_id_0> kotor,o
hotel ini sangat parah pelayanannya . tidak dikasih handuk . seprai kasur tidak di ganti dan harus kita tegor terus setiap harinya agar diganti . kemudian owner hotel tersebut tidak ramah dan tidak sopan . saya book 3 kamar disana . sungguh sangat kecewa . tolong pihak airy hotel survey langsung dan menindaklanjuti karena ini merusak citra dan nama airy sendiri . terima kasih .| aspek : <extra_id_0>,<extra_id_0> pelayanannya ; <extra_id_1> handuk ; <extra_id_2> seprai kasur ; <extra_id_3> owner hotel ; <extra_id_4> NULL,a
"jorok ! selimut , seprai bau kamar sembab .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> selimut <extra_id_1> bau ; <extra_id_2> seprai <extra_id_3> bau ; <extra_id_4> kamar <extra_id_5> sembab ; <extra_id_6> NULL <extra_id_7> jorok,ao
kamarnya bagus dan cukup . cocok buat untuk istirahat .| aspek : <extra_id_0>,<extra_id_0> kamarnya,a
"air wastafel kecil sekali . deposit nya besar banget . harga kamar sama deposit gedean deposit . untuk pelayanan ramah . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air wastafel <extra_id_1> kecil sekali ; <extra_id_2> deposit nya <extra_id_3> besar banget ; <extra_id_4> pelayanan <extra_id_5> ramah,ao
"pelayanan sangat baik , fasilitas memuaskan kamar tidur bersih , kamar mandi bersih sarapan enak tahun depan ke bali , jadi tidak bingung cari hotel langsung booking hotel intansari terimakasih .| aspek : <extra_id_0>",<extra_id_0> pelayanan ; <extra_id_1> fasilitas ; <extra_id_2> kamar tidur ; <extra_id_3> kamar mandi ; <extra_id_4> sarapan,a
"kamar bersih , air lancar . pelayanan bagus .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> air <extra_id_3> lancar ; <extra_id_4> pelayanan <extra_id_5> bagus,ao
"kamarnya nyaman , bersih dan strategis .| aspek : <extra_id_0>",<extra_id_0> kamarnya,a
"tempatnya nyaman dan aman , adem enak , pelayanan memuaskan , dekat kalau mau kemana mana .| aspek : <extra_id_0>",<extra_id_0> tempatnya ; <extra_id_1> pelayanan,a
"kamarnya bersih , rapi , alat mandi lengkap , dan disediakan makanan ringan di dalam kamar . sarapan roti dan minuman seduh sendiri . sangat direkomendasi buat yang budget minimal . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> bersih ; <extra_id_2> kamarnya <extra_id_3> rapi ; <extra_id_4> alat mandi <extra_id_5> lengkap ; <extra_id_6> makanan ringan <extra_id_7> disediakan ; <extra_id_8> NULL <extra_id_9> sangat direkomendasi,ao
"kamarnya tidak ada jendela , ac kurang dingin , seprei/bantal agak berdebu . semalaman hidung juga gatalgatal . kamar kecil . breakfast ala kadarnya . oke untuk tidur 1 malam . wifi nya kencang karena dapat kamar dekat router wifi . terimakasih untuk snack complimentarynya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> jendela <extra_id_1> tidak ada <extra_id_2> negative ; <extra_id_3> ac <extra_id_4> kurang dingin <extra_id_5> negative ; <extra_id_6> seprei/bantal <extra_id_7> agak berdebu <extra_id_8> negative ; <extra_id_9> kamar <extra_id_10> kecil <extra_id_11> negative ; <extra_id_12> breakfast <extra_id_13> ala kadarnya <extra_id_14> negative ; <extra_id_15> wifi nya <extra_id_16> kencang <extra_id_17> positive,aos
"sudah 2 kali di sini . servis , lokasi dan kamar oke . rate kompetitif . hanya saja cukup strict untuk waktu checkin .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> servis <extra_id_1> oke <extra_id_2> positive ; <extra_id_3> lokasi <extra_id_4> oke <extra_id_5> positive ; <extra_id_6> kamar <extra_id_7> oke <extra_id_8> positive,aos
"bersih , nyaman dan airy terbaik yang pernah saya inapin .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> airy <extra_id_1> terbaik <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> nyaman <extra_id_8> positive,aos
"semuanya bagus . sayangnya tidak bisa order makanan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> semuanya <extra_id_1> bagus,ao
"kamar bagus dan baik nyaman , hanya saja banyak nyamuk .| aspek : <extra_id_0>",<extra_id_0> kamar,a
"suami dan anakanak sangat puas , pokoknya recommended banget .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> anakanak sangat ; <extra_id_2> NULL <extra_id_3> recommended banget,ao
hotel terbaik .| aspek : <extra_id_0>,<extra_id_0> hotel,a
"front office kurang welcome ke tamu , kebersihan kurang banget , lokasi parkir yang terlalu minim terimakasih .| opini : <extra_id_0>",<extra_id_0> kurang welcome ; <extra_id_1> kurang banget ; <extra_id_2> terlalu minim,o
kamar mandi bau kasurnya kurang bersih lokasi strategis dekat dengan farmhouse .| aspek : <extra_id_0>,<extra_id_0> kamar mandi ; <extra_id_1> kasurnya ; <extra_id_2> lokasi,a
good . ada snack di setiap kamar . cuma sayang ketika dapat kamar 305 ac nya tidak dingin sama sekali . selebihnya keren . langganan disini .| opini : <extra_id_0>,<extra_id_0> ada ; <extra_id_1> tidak dingin ; <extra_id_2> keren ; <extra_id_3> good,o
"sangat puas dengan pelayanan nya dan respons cepat disaat tamu hotel merasa ada yang kurang pas di tertawa .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan nya <extra_id_1> sangat puas <extra_id_2> positive ; <extra_id_3> respons <extra_id_4> cepat <extra_id_5> positive,aos
recommended banget : ) .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"kualitas kamar dan pelayanan baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kualitas kamar <extra_id_1> positive ; <extra_id_2> pelayanan <extra_id_3> positive,as
"bersih , enak dan nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> bersih ; <extra_id_2> NULL <extra_id_3> enak ; <extra_id_4> NULL <extra_id_5> nyaman,ao
"lumayan , pelayanan cukup , sayang musholla kurang memadai , dan tidak ada lift .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> cukup <extra_id_2> positive ; <extra_id_3> musholla <extra_id_4> kurang memadai <extra_id_5> negative ; <extra_id_6> lift <extra_id_7> tidak ada <extra_id_8> negative ; <extra_id_9> NULL <extra_id_10> lumayan <extra_id_11> positive,aos
langit langit kamar mandi bocor perlu perbaikan . wifi tidak terjangkau . kayu pada pintu dan jendela sudah ok dengan air jadi aroma kamar jadi lembab . binatang seperti semut pemakan kayu sering muncul dan merek besar besar . saya mungkin akan cari tempat lain bila ke bali lagi .| aspek : <extra_id_0>,<extra_id_0> langit langit kamar mandi ; <extra_id_1> wifi ; <extra_id_2> kamar,a
"kamar bersih namun air panas tidak teesedia .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> air panas <extra_id_3> negative,as
"murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki .| aspek : <extra_id_0>",<extra_id_0> toiletnya ; <extra_id_1> NULL,a
"kamar lumayan tetapi tolong dengan sangat resepsionis jangan judes dan galak begitu , tidak ada sopan santun . tidak pantas jadi resepsionis . semoga bisa diperbaiki .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> lumayan ; <extra_id_2> resepsionis <extra_id_3> judes ; <extra_id_4> resepsionis <extra_id_5> galak ; <extra_id_6> sopan santun <extra_id_7> tidak ada,ao
ada balkon tetapi tidak bisa dibuka .| aspek : <extra_id_0>,<extra_id_0> balkon,a
"kurang ventilasi jdnya pengap dan kipas di toilet .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> ventilasi <extra_id_1> negative ; <extra_id_2> kipas <extra_id_3> negative,as
"bagus , nyaman , bersih . recommended lah .| opini : <extra_id_0>",<extra_id_0> bagus ; <extra_id_1> nyaman ; <extra_id_2> bersih ; <extra_id_3> recommended,o
waktu itu saya membawa teman cewek ditulisan aplikasi airy saya pilih room bukan type syariah begtu smpai dilokasi ada tulisan besar bagi yang membawa pasangan wajib menunjukan surat nikah .| aspek : <extra_id_0>,NULL,a
"kamarnya bersih dan sangat enak untuk dilihat , lokasi strategis , ada free snacks juga , saran : selimutnya sedikit dibesarinn .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> kamarnya <extra_id_4> sangat enak <extra_id_5> positive ; <extra_id_6> lokasi <extra_id_7> strategis <extra_id_8> positive ; <extra_id_9> free snacks <extra_id_10> ada <extra_id_11> positive ; <extra_id_12> selimutnya <extra_id_13> sedikit dibesarinn <extra_id_14> negative,aos
"koleksi interior nya asli keren sampai foto buat di ig , pasti balik lagi kalau ke jogja terimakasih iya airy babaranji .| aspek : <extra_id_0>",<extra_id_0> koleksi interior,a
lebih membutuhkan maintenance untuk kamar mandi dan aroma ac/kamarnya .| aspek : <extra_id_0>,NULL,a
"pesan yang double , dikasih yang twin . keluhan terus baru di pindah dan harus di siapkan dulu cepetcepet . tidak dapat bantal kecil airy di tempat tidur . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> bantal kecil airy <extra_id_1> tidak dapat,ao
mengapa breakfast di tiadakan hufft .| opini : <extra_id_0>,<extra_id_0> di tiadakan,o
"terimakasih airy , pelayanan bagus , kamar sangat nyaman , adem . alhamdulillah kami puas inap di hotel cara .| aspek : <extra_id_0>",<extra_id_0> pelayanan ; <extra_id_1> kamar,a
"dapat beristrhat dengan nyaman di hotel ini .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
"jadi ketagihan menginap disini .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
"mereka upgrade gratis kamar , terimakasih airy .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
"tempat tdr kurang bersih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat tdr <extra_id_1> negative,as
bintang 3 lah iya .| opini : <extra_id_0>,NULL,o
pelayanan nya cukup baik .| opini : <extra_id_0>,<extra_id_0> cukup baik,o
pelayanan baik dan ramah . excellent .| opini : <extra_id_0>,<extra_id_0> baik ; <extra_id_1> ramah ; <extra_id_2> excellent,o
"baik , nyaman cocok buat keluarga .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"kamar cukup luas .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> cukup luas,ao
"kamarnya terlalu atas , lift mati .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> terlalu atas <extra_id_2> negative ; <extra_id_3> lift <extra_id_4> mati <extra_id_5> negative,aos
"taman belakangnya juga buat betah .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"nyaman banget tempat dan suasananya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive ; <extra_id_2> suasananya <extra_id_3> positive,as
"tidak sesuai dengan foto , tidak ada meja dan air panas .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> meja <extra_id_1> tidak ada <extra_id_2> negative ; <extra_id_3> air panas <extra_id_4> tidak ada <extra_id_5> negative,aos
kurang respons kalau konsumen minta bantu .| aspek : <extra_id_0>,<extra_id_0> respons,a
"kmi sangat puass dan tidak menyesal , sesuai dengan ekspetasi yang kmi harapkan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> sangat puass <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> tidak menyesal <extra_id_5> positive,aos
"seperti biasa , bersih fasilitas berfungsi semua orang nya ramah .| aspek : <extra_id_0>",<extra_id_0> fasilitas ; <extra_id_1> orang nya,a
"meskipun luas kamarnya pas , tetapi bersih banget . ada air hangat untuk mandi . bahkan disediakan snack yang buat happy banget . terima kasih airy rooms .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> luas kamarnya <extra_id_1> pas <extra_id_2> positive ; <extra_id_3> air hangat <extra_id_4> ada <extra_id_5> positive ; <extra_id_6> snack <extra_id_7> disediakan <extra_id_8> positive ; <extra_id_9> kamarnya <extra_id_10> bersih banget <extra_id_11> positive,aos
"semuanya baik , dan puas dengan yang diberikan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> semuanya <extra_id_1> baik <extra_id_2> positive ; <extra_id_3> semuanya <extra_id_4> puas <extra_id_5> positive,aos
"staf nya ramahramah . kamar bagus nyaman , bersih , dan kamar mandinya bersih juga .| opini : <extra_id_0>",<extra_id_0> ramahramah ; <extra_id_1> bagus ; <extra_id_2> nyaman ; <extra_id_3> bersih ; <extra_id_4> bersih,o
"saya kecewa ketika saya menginap tidak ada di sediakan air minum , kamarnya bersemut , dan obat sikat gigi nya keras .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> air minum <extra_id_1> negative ; <extra_id_2> kamarnya <extra_id_3> negative ; <extra_id_4> obat sikat gigi nya <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> negative,as
"sangat merekomendasikan , tempatnya memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempatnya <extra_id_1> memuaskan <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> sangat merekomendasikan <extra_id_5> positive,aos
"shower mati tetapi ada keran , overall bagus sih , sesuai harga .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> shower <extra_id_1> negative ; <extra_id_2> keran <extra_id_3> positive ; <extra_id_4> overall <extra_id_5> positive,as
"saya sangat puas . kamar rapi dan bersih . staf sangat ramah dan helpful . kamar saya dilantai 3 dan tidak ada lift tetapi staf siap membantu . dekat dengan tempat makan , bakery , dan minimarket . sangat rekomended .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> rapi ; <extra_id_2> kamar <extra_id_3> bersih ; <extra_id_4> staf <extra_id_5> sangat ramah ; <extra_id_6> staf <extra_id_7> helpful ; <extra_id_8> lift <extra_id_9> tidak ada ; <extra_id_10> staf <extra_id_11> siap membantu ; <extra_id_12> NULL <extra_id_13> sangat puas ; <extra_id_14> NULL <extra_id_15> sangat rekomended,ao
"bersih dan nyaman . cuma arang nomor kamar ke atas tidak ada . jadi bingung .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"bersih rapi seperti biasa , puas sama pelayananya .| aspek : <extra_id_0>",<extra_id_0> pelayananya ; <extra_id_1> NULL,a
"tempatnya oke , price sama kualitas pas . suka banget .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempatnya <extra_id_1> positive ; <extra_id_2> price <extra_id_3> positive ; <extra_id_4> kualitas <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> positive,as
"tingkatkan terus kebersihanya agar pelanggan nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"tolong di perhatikan lagi kelengkapan kamarnya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kelengkapan kamarnya <extra_id_1> tolong di perhatikan lagi,ao
"lokasi sangat dekat dengan pia mangkok dan mcdonalds . banyak tempat kuliner di sekitar . wifi juga setara 4g dengan kecepatan rata rata 2mib s . sarapan juga bervariasi . cocok buat anak kecil karena tidak berisik . setara hotel bintang 4 .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> sarapan <extra_id_1> bervariasi <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> tidak berisik <extra_id_5> positive,aos
"pelayanan baik dan ramah . excellent .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> baik ; <extra_id_2> pelayanan <extra_id_3> ramah ; <extra_id_4> pelayanan <extra_id_5> excellent,ao
bau kamarnya kurang wangi . kalau diberi pengharum ruangan lebih baik .| opini : <extra_id_0>,<extra_id_0> kurang wangi,o
"bersih rapi dan tidak ribet kemana mana dekat .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> rapi <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> tidak ribet <extra_id_8> positive,aos
"air panasnya berfungsi dengan baik dan kamar mandinya bersih , itu yang utama .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air panasnya <extra_id_1> berfungsi dengan baik ; <extra_id_2> kamar mandinya <extra_id_3> bersih,ao
sangat nyaman terima kasih pegawainya ramah bersih dan dekat kemana mana pokonya betah .| aspek : <extra_id_0>,<extra_id_0> pegawainya ; <extra_id_1> NULL,a
"sarapan memuaskan , kamarnya bagus , kolam renangnya juga .| aspek : <extra_id_0>",<extra_id_0> sarapan ; <extra_id_1> kamarnya,a
"perfect , sesuai dengan ekspektasi saya good job .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> perfect ; <extra_id_2> NULL <extra_id_3> sesuai dengan ekspektasi,ao
ac nya kurang dingin di kamar 515 .| opini : <extra_id_0>,<extra_id_0> kurang dingin,o
"nyaman , bersih , lengkap .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> nyaman ; <extra_id_2> NULL <extra_id_3> bersih ; <extra_id_4> NULL <extra_id_5> lengkap,ao
"besrsih , nyaman dan penjaganya ramah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> penjaganya <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"perlu ditambah pengharum di lemarinya . overall kamarnya bersih banget , nyaman , fasilitas lengkap , ac dingin . kalau bisa sediakan line telepon untuk pemesanan taksi , karena letaknya cukup jauh dari jalan raya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> overall kamarnya <extra_id_1> bersih banget <extra_id_2> positive ; <extra_id_3> overall kamarnya <extra_id_4> nyaman <extra_id_5> positive ; <extra_id_6> fasilitas <extra_id_7> lengkap <extra_id_8> positive ; <extra_id_9> ac <extra_id_10> dingin <extra_id_11> positive ; <extra_id_12> letaknya <extra_id_13> jauh <extra_id_14> negative,aos
"ini adalah koskosan bertingkat , namun sikonnya tampak sangat padat penghuni , kurang terawat , dan menyedihkan : ( .| aspek : <extra_id_0>",<extra_id_0> sikonnya,a
